code,name,year,gcse
E09000005,brent,2012,62.9
E09000006,bromley,2012,73.9
E09000007,camden,2012,60.4
E09000008,croydon,2012,64.4
E09000009,ealing,2012,60.9
E09000010,enfield,2012,63.2
E09000011,greenwich,2012,65.4
E09000012,hackney,2012,61.2
E09000013,hammersmith and fulham,2012,66.5
E09000014,haringey,2012,63.5
E09000015,harrow,2012,65.4
E09000016,havering,2012,63.7
E09000017,hillingdon,2012,61.6
E09000018,hounslow,2012,66.7
E09000019,islington,2012,63.5
E09000020,kensington and chelsea,2012,80.2
E09000021,kingston upon thames,2012,71.6
E09000022,lambeth,2012,65.9
E09000023,lewisham,2012,58.0
E09000024,merton,2012,62.6
E09000025,newham,2012,58.4
E09000026,redbridge,2012,70.2
E09000027,richmond upon thames,2012,68.3
E09000028,southwark,2012,65.2
E09000029,sutton,2012,77.0
E09000030,tower hamlets,2012,64.7
E09000031,waltham forest,2012,56.7
E09000032,wandsworth,2012,61.3
E09000033,westminster,2012,69.6
E10000002,buckinghamshire,2012,71.3
E10000003,cambridgeshire,2012,61.0
E10000006,cumbria,2012,56.5
E10000007,derbyshire,2012,59.1
E10000008,devon,2012,59.6
E10000009,dorset,2012,58.9
E10000011,east sussex,2012,59.9
E10000012,essex,2012,60.5
E10000013,gloucestershire,2012,61.8
E10000014,hampshire,2012,60.0
E10000015,hertfordshire,2012,66.3
E10000016,kent,2012,63.1
E10000017,lancashire,2012,61.2
E10000018,leicestershire,2012,59.5
E10000019,lincolnshire,2012,61.8
E10000020,norfolk,2012,54.4
E10000021,northamptonshire,2012,58.1
E10000023,north yorkshire,2012,65.4
E10000024,nottinghamshire,2012,63.4
E10000025,oxfordshire,2012,60.6
E10000027,somerset,2012,58.0
E10000028,staffordshire,2012,59.9
E10000029,suffolk,2012,54.6
E10000030,surrey,2012,67.5
E10000031,warwickshire,2012,65.3
E10000032,west sussex,2012,59.9
E10000034,worcestershire,2012,62.9
E06000001,hartlepool,2013,55.1
E06000002,middlesbrough,2013,47.2
E06000003,redcar and cleveland,2013,50.0
E06000004,stockton-on-tees,2013,55.1
E06000005,darlington,2013,56.9
E06000006,halton,2013,57.2
E06000007,warrington,2013,55.9
E06000008,blackburn with darwen,2013,54.6
E06000009,blackpool,2013,44.0
E06000010,"kingston upon hull, city of",2013,44.7
E06000011,east riding of yorkshire,2013,57.8
E06000012,north east lincolnshire,2013,55.4
E06000013,north lincolnshire,2013,54.7
E06000014,york,2013,62.3
E06000015,derby,2013,50.2
E06000016,leicester,2013,51.9
E06000017,rutland,2013,62.7
E06000018,nottingham,2013,44.6
E06000019,"herefordshire, county of",2013,58.7
E06000020,telford and wrekin,2013,51.7
E06000021,stoke-on-trent,2013,50.0
E06000022,bath and north east somerset,2013,61.9
E06000023,"bristol, city of",2013,55.2
E06000024,north somerset,2013,57.8
E06000025,south gloucestershire,2013,54.0
E06000026,plymouth,2013,53.1
E06000027,torbay,2013,56.6
E06000028,bournemouth,2013,61.1
E06000029,poole,2013,56.8
E06000030,swindon,2013,53.1
E06000031,peterborough,2013,50.0
E06000032,luton,2013,54.1
E06000033,southend-on-sea,2013,62.2
E06000034,thurrock,2013,58.0
E06000035,medway,2013,58.8
E06000036,bracknell forest,2013,57.0
E06000037,west berkshire,2013,61.1
E06000038,reading,2013,59.3
E06000039,slough,2013,69.3
E06000040,windsor and maidenhead,2013,62.3
E06000041,wokingham,2013,66.3
E06000042,milton keynes,2013,49.2
E06000043,brighton and hove,2013,53.6
E06000044,portsmouth,2013,50.8
E06000045,southampton,2013,51.0
E06000046,isle of wight,2013,45.2
E06000047,county durham,2013,57.6
E06000048,northumberland,2013,52.6
E06000049,cheshire east,2013,61.5
E06000050,cheshire west and chester,2013,58.2
E06000051,shropshire,2013,56.1
E06000052,cornwall,2013,55.3
E06000053,isles of scilly,2013,72.7
E06000054,wiltshire,2013,56.8
E06000055,bedford,2013,52.0
E06000056,central bedfordshire,2013,57.1
E08000001,bolton,2013,57.3
E08000002,bury,2013,56.9
E08000003,manchester,2013,51.4
E08000004,oldham,2013,52.4
E08000005,rochdale,2013,54.0
E08000006,salford,2013,47.3
E08000007,stockport,2013,58.3
E08000008,tameside,2013,53.7
E08000009,trafford,2013,72.2
E08000010,wigan,2013,58.0
E08000011,knowsley,2013,35.4
E08000012,liverpool,2013,49.9
E08000013,st. helens,2013,55.2
E08000014,sefton,2013,55.0
E08000015,wirral,2013,60.0
E08000016,barnsley,2013,47.1
E08000017,doncaster,2013,49.4
E08000018,rotherham,2013,57.3
E08000019,sheffield,2013,53.9
E08000020,gateshead,2013,58.5
E08000021,newcastle upon tyne,2013,57.4
E08000022,north tyneside,2013,56.2
E08000023,south tyneside,2013,54.0
E08000024,sunderland,2013,51.0
E08000025,birmingham,2013,55.9
E08000026,coventry,2013,52.3
E08000027,dudley,2013,53.3
E08000028,sandwell,2013,50.7
E08000029,solihull,2013,60.8
E08000030,walsall,2013,48.8
E08000031,wolverhampton,2013,46.4
E08000032,bradford,2013,44.0
E08000033,calderdale,2013,60.0
E08000034,kirklees,2013,56.0
E08000035,leeds,2013,51.0
E08000036,wakefield,2013,58.2
E09000002,barking and dagenham,2013,58.2
E09000003,barnet,2013,67.5
E09000004,bexley,2013,60.3
E09000005,brent,2013,60.0
E09000006,bromley,2013,65.6
E09000007,camden,2013,60.5
E09000008,croydon,2013,56.8
E09000009,ealing,2013,59.8
E09000010,enfield,2013,59.7
E09000011,greenwich,2013,59.6
E09000012,hackney,2013,58.8
E09000013,hammersmith and fulham,2013,65.6
E09000014,haringey,2013,59.1
E09000015,harrow,2013,62.3
E09000016,havering,2013,60.2
E09000017,hillingdon,2013,58.8
E09000018,hounslow,2013,66.1
E09000019,islington,2013,59.9
E09000020,kensington and chelsea,2013,73.8
E09000021,kingston upon thames,2013,70.0
E09000022,lambeth,2013,57.0
E09000023,lewisham,2013,51.8
E09000024,merton,2013,64.2
E09000025,newham,2013,55.4
E09000026,redbridge,2013,68.1
E09000027,richmond upon thames,2013,63.5
E09000028,southwark,2013,62.5
E09000029,sutton,2013,72.1
E09000030,tower hamlets,2013,59.7
E09000031,waltham forest,2013,56.7
E09000032,wandsworth,2013,59.1
E09000033,westminster,2013,68.1
E10000002,buckinghamshire,2013,69.5
E10000003,cambridgeshire,2013,55.9
E10000006,cumbria,2013,57.0
E10000007,derbyshire,2013,53.7
E10000008,devon,2013,56.7
E10000009,dorset,2013,58.7
E10000011,east sussex,2013,53.2
E10000012,essex,2013,56.5
E10000013,gloucestershire,2013,60.8
E10000014,hampshire,2013,58.9
E10000015,hertfordshire,2013,66.5
E10000016,kent,2013,58.1
E10000017,lancashire,2013,56.8
E10000018,leicestershire,2013,56.5
E10000019,lincolnshire,2013,54.8
E10000020,norfolk,2013,52.7
E10000021,northamptonshire,2013,51.8
E10000023,north yorkshire,2013,61.0
E10000024,nottinghamshire,2013,58.0
E10000025,oxfordshire,2013,59.4
E10000027,somerset,2013,53.9
E10000028,staffordshire,2013,54.9
E10000029,suffolk,2013,51.7
E10000030,surrey,2013,63.5
E10000031,warwickshire,2013,60.4
E10000032,west sussex,2013,57.6
E10000034,worcestershire,2013,58.5
E06000001,hartlepool,2014,53.4
E06000002,middlesbrough,2014,46.1
E06000003,redcar and cleveland,2014,54.3
E06000004,stockton-on-tees,2014,59.3
E06000005,darlington,2014,52.5
E06000006,halton,2014,56.9
E06000007,warrington,2014,58.5
E06000008,blackburn with darwen,2014,56.9
E06000009,blackpool,2014,42.4
E06000010,"kingston upon hull, city of",2014,46.7
E06000011,east riding of yorkshire,2014,56.3
E06000012,north east lincolnshire,2014,52.1
E06000013,north lincolnshire,2014,57.6
E06000014,york,2014,63.7
E06000015,derby,2014,47.6
E06000016,leicester,2014,50.4
E06000017,rutland,2014,67.2
E06000018,nottingham,2014,42.4
E06000019,"herefordshire, county of",2014,57.5
E06000020,telford and wrekin,2014,53.7
E06000021,stoke-on-trent,2014,48.2
E06000022,bath and north east somerset,2014,62.9
E06000023,"bristol, city of",2014,54.0
E06000024,north somerset,2014,58.8
E06000025,south gloucestershire,2014,52.9
E06000026,plymouth,2014,51.8
E06000027,torbay,2014,57.3
E06000028,bournemouth,2014,60.3
E06000029,poole,2014,63.1
E06000030,swindon,2014,53.0
E06000031,peterborough,2014,48.5
E06000032,luton,2014,53.0
E06000033,southend-on-sea,2014,64.7
E06000034,thurrock,2014,52.9
E06000035,medway,2014,57.8
E06000036,bracknell forest,2014,58.2
E06000037,west berkshire,2014,62.4
E06000038,reading,2014,57.5
E06000039,slough,2014,67.9
E06000040,windsor and maidenhead,2014,64.6
E06000041,wokingham,2014,67.8
E06000042,milton keynes,2014,52.0
E06000043,brighton and hove,2014,61.0
E06000044,portsmouth,2014,50.7
