code,name,road-length,year
E06000019,"herefordshire, county of ua",2080.8,2018
E06000051,shropshire ua,3226.3,2018
E06000021,stoke-on-trent ua,544.0,2018
E06000020,telford and wrekin ua,662.9,2018
E10000028,staffordshire ,3946.0,2018
E10000031,warwickshire,2610.3,2018
E08000025,birmingham,1597.4,2018
E08000026,coventry,554.7,2018
E08000027,dudley ,640.7,2018
E08000028,sandwell ,559.2,2018
E08000029,solihull,546.7,2018
E08000030,walsall,543.2,2018
E08000031,wolverhampton,484.0,2018
E10000034,worcestershire ,2648.4,2018
E06000055,bedford ua ,574.4,2018
E06000056,central bedfordshire ua ,955.0,2018
E06000032,luton ua,291.5,2018
E06000031,peterborough ua,602.5,2018
E06000033,southend-on-sea ua,284.0,2018
E06000034,thurrock ua,370.5,2018
E10000003,cambridgeshire ,2961.4,2018
E10000012,essex ,5131.7,2018
E10000015,hertfordshire,3118.1,2018
E10000020,norfolk,6222.2,2018
E10000029,suffolk,4345.5,2018
E09000007,camden,172.5,2018
E09000001,city of london,34.5,2018
E09000012,hackney,168.8,2018
E09000013,hammersmith and fulham,137.4,2018
E09000014,haringey,221.2,2018
E09000019,islington,147.9,2018
E09000020,kensington and chelsea,128.1,2018
E09000022,lambeth,233.5,2018
E09000023,lewisham,277.4,2018
E09000025,newham,267.4,2018
E09000028,southwark,243.0,2018
E09000030,tower hamlets,178.9,2018
E09000032,wandsworth,267.6,2018
E09000033,westminster,211.5,2018
E09000002,barking and dagenham,210.9,2018
E09000003,barnet,475.2,2018
E09000004,bexley,341.9,2018
E09000005,brent,303.5,2018
E09000006,bromley,562.0,2018
E09000008,croydon,482.4,2018
E09000009,ealing,365.7,2018
E09000010,enfield,395.2,2018
E09000011,greenwich,313.2,2018
E09000015,harrow,295.9,2018
E09000016,havering,409.5,2018
E09000017,hillingdon,473.5,2018
E09000018,hounslow,312.2,2018
E09000021,kingston upon thames,213.8,2018
E09000024,merton,235.7,2018
E09000026,redbridge,331.8,2018
E09000027,richmond upon thames,257.1,2018
E09000029,sutton,268.4,2018
E09000031,waltham forest,263.8,2018
E06000036,bracknell forest ua,292.7,2018
E06000043,brighton and hove ua,386.0,2018
E06000046,isle of wight ua,549.2,2018
E06000035,medway ua,530.3,2018
E06000042,milton keynes ua,799.4,2018
E06000044,portsmouth ua,285.9,2018
E06000038,reading ua,246.3,2018
E06000039,slough ua,201.4,2018
E06000045,southampton ua,363.8,2018
E06000037,west berkshire ua,881.1,2018
E06000040,windsor and maidenhead ua,426.3,2018
E06000041,wokingham ua,479.3,2018
E10000002,buckinghamshire ,2052.9,2018
E10000011,east sussex ,2117.3,2018
E10000014,hampshire ,5572.3,2018
E10000016,kent ,5720.2,2018
E10000025,oxfordshire,2958.7,2018
E10000030,surrey,3449.5,2018
E10000032,west sussex,2664.5,2018
E06000022,bath and north east somerset ua,665.0,2018
E06000028,bournemouth ua,318.1,2018
E06000023,"bristol, city of ua",722.3,2018
E06000052,cornwall ua ,4610.5,2018
E06000053,isles of scilly ua,21.5,2018
E06000024,north somerset ua,729.1,2018
E06000026,plymouth ua,516.2,2018
E06000029,poole ua,330.1,2018
E06000025,south gloucestershire ua,984.7,2018
E06000030,swindon ua,574.2,2018
E06000027,torbay ua,330.2,2018
E06000054,wiltshire ua ,2988.8,2018
E10000008,devon ,8084.8,2018
E10000009,dorset ,2680.1,2018
E10000013,gloucestershire ,3483.3,2018
E10000027,somerset,4225.4,2018
W06000001,isle of anglesey,752.2,2018
W06000002,gwynedd,1555.8,2018
W06000003,conwy,1023.9,2018
W06000004,denbighshire,891.9,2018
W06000005,flintshire,800.3,2018
W06000006,wrexham,753.5,2018
W06000023,powys,3335.4,2018
W06000008,ceredigion,1412.6,2018
W06000009,pembrokeshire,1621.2,2018
W06000010,carmarthenshire,2216.4,2018
W06000011,swansea,726.0,2018
W06000012,neath port talbot,545.1,2018
W06000013,bridgend,501.6,2018
W06000014,the vale of glamorgan,575.6,2018
